类别：所有类别

周,奥密克戎: (全球)
2020-05-31,<1
2020-06-07,<1
2020-06-14,<1
2020-06-21,<1
2020-06-28,<1
2020-07-05,<1
2020-07-12,<1
2020-07-19,<1
2020-07-26,<1
2020-08-02,<1
2020-08-09,<1
2020-08-16,<1
2020-08-23,<1
2020-08-30,<1
2020-09-06,<1
2020-09-13,<1
2020-09-20,<1
2020-09-27,<1
2020-10-04,<1
2020-10-11,<1
2020-10-18,<1
2020-10-25,<1
2020-11-01,<1
2020-11-08,<1
2020-11-15,<1
2020-11-22,<1
2020-11-29,<1
2020-12-06,<1
2020-12-13,<1
2020-12-20,<1
2020-12-27,<1
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,<1
2021-01-31,<1
2021-02-07,<1
2021-02-14,<1
2021-02-21,<1
2021-02-28,<1
2021-03-07,<1
2021-03-14,<1
2021-03-21,<1
2021-03-28,<1
2021-04-04,<1
2021-04-11,<1
2021-04-18,<1
2021-04-25,<1
2021-05-02,<1
2021-05-09,<1
2021-05-16,<1
2021-05-23,<1
2021-05-30,<1
2021-06-06,<1
2021-06-13,<1
2021-06-20,<1
2021-06-27,<1
2021-07-04,<1
2021-07-11,<1
2021-07-18,<1
2021-07-25,<1
2021-08-01,<1
2021-08-08,<1
2021-08-15,<1
2021-08-22,<1
2021-08-29,<1
2021-09-05,<1
2021-09-12,<1
2021-09-19,<1
2021-09-26,<1
2021-10-03,<1
2021-10-10,<1
2021-10-17,<1
2021-10-24,<1
2021-10-31,<1
2021-11-07,<1
2021-11-14,<1
2021-11-21,18
2021-11-28,100
2021-12-05,37
2021-12-12,43
2021-12-19,63
2021-12-26,73
2022-01-02,76
2022-01-09,66
2022-01-16,56
2022-01-23,46
2022-01-30,38
2022-02-06,27
2022-02-13,19
2022-02-20,15
2022-02-27,11
2022-03-06,10
2022-03-13,10
2022-03-20,9
2022-03-27,8
2022-04-03,7
2022-04-10,5
2022-04-17,4
2022-04-24,3
2022-05-01,3
2022-05-08,3
2022-05-15,3
2022-05-22,2
